country,deleted,description,effective_date,end_date,form_name_classification,legacy_return_name,major,minor,preview_image,purpose,region,revision,scope_level_guess,status,tax_form_code,tax_form_name
US,False,Quarterly Sales and Tax Return,2009-09-01T00:00:00,2015-12-31T00:00:00,likely_official_or_near_official,MAST9Q,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/2f82148e-882f-4a1f-a9de-0179871c3a21.png,,MA,3,likely_state_or_province_level,PRODUCTION,USMAST9Q,MA ST 9Q
US,False,Sales Tax on Meal And Beverages Return,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MASTMAB4,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/7dfe09c9-9a51-4a49-8245-7e5c42348547.png,,MA,8,likely_state_or_province_level,PRODUCTION,USMASTMAB4,MA STMAB4
US,False,MD Sales and Use Tax Return,2011-06-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MDRAD098,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c6e9bde7-720e-43c4-b706-fddf92348b7d.png,,MD,1,likely_state_or_province_level,PRODUCTION,USMDRAD098,MD RAD098
US,False,Sales and Use Tax Return,2025-07-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MDSALESUSE,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/859e09d4-94e3-434c-9866-6891fb3a3f76.png,,MD,123,likely_state_or_province_level,PRODUCTION,USMDSALESUSE,MD 202
US,False,Sales and Use Tax Return,2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MEST7,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/98c5e07d-39f9-4163-8c95-60b22ef8d816.png,,ME,55,likely_state_or_province_level,PRODUCTION,USMEST7,ME ST7
US,False,Consolidated Breakdown - Sales and Use Tax,2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MEST7B,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/66cd2c54-9346-494e-b836-a2b319d30681.png,,ME,24,likely_state_or_province_level,PRODUCTION,USMEST7B,ME ST7B
US,False,Use Tax Return,2023-06-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MEST7U,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/48e8727e-b500-4752-a1e9-588c02af478f.png,,ME,11,likely_state_or_province_level,PRODUCTION,USMEST7U,ME ST7U
US,False,Monthly or Quarterly Sales and Use Tax Worksheet,2013-08-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MI1603862,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/edbf5523-e7cb-4ab2-9c3d-ef7d60eda5d9.png,,MI,1,likely_state_or_province_level,PRODUCTION,USMI1603862,MI 160 3862
US,False,"Annual Return for Sales, Use and Witholding Taxes",2013-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MI165,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5a811786-b4b6-4c55-94cd-e09be77e84f7.png,,MI,0,likely_state_or_province_level,PRODUCTION,USMI165,MI 165
US,False,"Sales, Use and Withholding Taxes Monthly/Quarterly Return",2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,MI5080SU,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/76e9189f-a9e3-4368-8380-fce0690985e3.png,,MI,128,likely_state_or_province_level,PRODUCTION,USMI5080SU,MI 5080
