tax_form_code,tax_form_name,legacy_return_name,description,country,region,purpose,status,effective_date,end_date,preview_image,form_master_id,form_version_id,major,minor,revision
USAKPETERSBURGBOROUGH,AK Petersburg Borough,AKPETERSBURGBOROUGH,Sales Tax Return (Monthly),US,AK,,PRODUCTION,2017-11-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/771ed2c6-06e5-4d6a-a4a5-8890999ec94a.png,889,21071202,1,0,9
USAKPILOTSTATION,AK Pilot Station,AKPILOTSTATION,City of Pilot Station Tax Return,US,AK,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/95f9b4bc-5cdc-4a43-a163-1f52c875c899.png,2426,41162,1,0,2
USAKPOINTHOPE,AK Point Hope,AKPOINTHOPE,City of Point Hope Tax Return,US,AK,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/1e7733a6-795d-4296-ab9c-b17d8e7c781c.png,2420,41235,1,0,7
USAKPORTALEXANDER,AK Port Alexander,AKPORTALEXANDER,Quarterly City Sales Tax Report,US,AK,,PRODUCTION,1900-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8c6944f1-7a06-4726-9286-5821c88cb059.png,12264,40328,1,0,1
USAKQUINHAGAK,AK Quinhagak,AKQUINHAGAK,Consumers Tax on Sales and Services,US,AK,,PRODUCTION,2012-07-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/e15b1124-4f2c-42cd-8053-06bea61b3f1d.png,890,41249,1,0,3
USAKRSR,AK Remote Sellers Return,AKRSR,Schedule for Remote Sellers,US,AK,,PRODUCTION,2026-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b9aedeff-ca27-41f1-93b4-934588547665.png,12498,21113578,1,0,122
USAKSANDPOINT,AK Sand Point,AKSANDPOINT,City of Sand Point Sales Tax Report,US,AK,,PRODUCTION,2015-04-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/29bc25b4-8c92-4aac-ba05-89aa1556bc80.png,867,21062340,1,0,12
USAKSAVOONGA,AK Savoonga,AKSAVOONGA,City of Savoonga Sales Tax Return,US,AK,,PRODUCTION,2018-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3ee0006b-35f4-4ac5-aff8-ecfd748df2e1.png,2421,21066527,1,0,3
USAKSELAWIK,AK Selawik,AKSELAWIK,Selawaik Sales Tax Return,US,AK,,PRODUCTION,2022-03-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/356fa5c3-772e-4856-8a9f-50d36a19d013.png,10535,21107027,1,0,10
USAKSHISHMAREF,AK Shishmaref,AKSHISHMAREF,City of Shishmaref Tax Return,US,AK,,PRODUCTION,2017-01-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8416d246-f883-4d5f-9734-3b3f4f297050.png,892,21067041,1,0,4
USAKSITKAA,AK Sitka Borough Annual Combined,AKSITKAA,City and Borough of Sitka - Yearly Sales and Transient Room Tax Return,US,AK,,PRODUCTION,2024-08-01T00:00:00,9999-12-31T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/69d94437-9c35-4648-b3fd-4ca62d98b975.png,42,21107885,1,0,21
USAKSITKACOMBINED,AK Sitka Borough Combined,AKSITKACOMBINED,Sitka Combined Sales and Transient Tax Return,US,AK,,PRODUCTION,2021-04-01T00:00:00,2021-06-30T00:00:00,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4cf96209-255d-4a3b-a5d5-e4d17d367c3c.png,810,1049785,1,0,12
